a-vorto; adjective
rakontisto; storyteller <g>pers</g>, narrator
rakonto; story, tale, narrative
ralo; water-rail
ramadano; Ramadan
rampado; crawl
rampi; crawl, creep <f>{past crept} {perf crept}</f>
rampulo; reptile
ranca; rancid, bad
randa; cornered
randaĵo; brim
rando; verge, cusp, brink, periphery, rand, border, rim, brim, edge
ranedoj; frog
rangi; rank
rangigi; seed
rango; rank, grade, rate
ranido; tad-pole, tadpole
rankoro; rancour, grudge, resentment
rano; frog
ranunkolo; buttercup
rapida; speedy, swift, hurried, brisk, hasty, fast, quick, rapid
rapidado; speeding
rapide; quick, rapidly, full blast, at the double, hand over fist, on the double, fast, swiftly, quickly
rapideco; haste, hurry, speed, rapidity
rapidega; racing, high-speed
rapidege; in a rush
rapidegi; rush
rapidemo; haste
rapidi; speed, go fast, rush, hurry, hasten
rapidigi; expedite, quicken, accelerate, speed up, rush
rapidigo; acceleration
rapidiĝi; quicken
rapidlanĉilo; quicklauncher
rapidlistelo; jump bar
rapidmova; quick
rapido; velocity, speed, pace
rapidometro; speedometer
rapidstartilo; quickstarter
rapidtrajno; fast train
rapidumo; gear
rapiro; foil, rapier, small sword
rapo; turnip
raporta; report
raportado; commentary, reporting
raportaĵo; story
raportfenestro; log window
raporti; report
raportisto; commentator, reporter <g>pers</g>
raportnavigilo; report navigator
raporto; record, report, account, ratio, brief
rara; precious, rare
raraĵo; rarity
rare; rarely
rasa; racial
rasisma; racial, racist
rasismo; racism
rasisto; racist
raso; breed, race, strain
raspi; grate, rasp
raspilo; grater
rasti; rake
rastilo; rake <g>pers</g>
rastro; hoe
rastrumbildo; pixmap
rastrumero; pixel
rastrumigilo; raster processor, rasterizer
rastrumo; raster, bit map, bitmap
ratifi; ratify
ratifiki; affirm, ratify
ratifiko; ratification
ratifo; ratification
rato; rat
rava; lovely, delightful, exquisite, fabulous
rave; thrilling, enchanting
ravi; wow, entrance, enchant, delight, thrill
ravino; ravine
raviolo; ravioli
ravioloj; ravioli
raviteco; euphoria
raviĝi; thrill
raviĝo; thrill
ravo; delight
razado; shaving
razeno; lawn
razi; shave <f>{past shaved} {perf shaved}</f>
razilo; razor
razisto; barber <g>pers</g>
raŭka; hoarse, rough, husky, raucous
raŭkeco; harshness
raŭpo; track, caterpillar
raĝo; raja <g>pers</g>, rajah
readmono; Deuteronomy
reagi; respond, react
reago; reaction
reagordi; reconfigure
reakcia; reactionary
reakciilo; reagent
reakcio; reaction
reakciulo; reactionary <g>pers</g>
reakiri; recover, regain, reclaim
reakiro; repurchase, recovery
reaktivigi; reactivate
reaktoro; reactor
reala; actual, practical, real
realaĵo; reality, realia
reale; actually, really, truly, genuinely, indeed
realeca; realistic
realeco; reality, actuality
realigebla; viable
realigebleco; viability
realigi; engineer, produce, effect, implement
realigo; implementation, realisation
realisma; safe, realistic
realisme; safely
realismo; realism
realisto; realist <g>pers</g>
realiĝi; come true, achieve, materialise
realiĝo; fruition, realisation
realo; reality, real
realtempa; real time, realtime
reanimi; reanimate
reaperi; reappear, resurface
reapero; resurgence
rearanĝi; rearrange
reaserti; reaffirm
reatingi; regain
reaĉeti; repurchase, redeem, buy back
rebapti; rechristen, rename
rebaptisto; Anabaptist <g>pers</g>
rebate; back
rebati; counter, hit back, retort, strike back, rebut, retaliate
rebato; retaliation, retort
rebonigado; repair
rebonigi; fix, repair
rebonigo; repair
reboniĝi; restore
rebrili; reflect
rebrilo; reflection
recenzi; review
recenzisto; reviewer, critic
recenzo; review
recepto; recipe, prescription
recesio; recession
recikli; recycle
recikligi; recycle
reciproka; reciprocal, mutual
reciproke; reciprocally, mutually
reciprokeco; reciprocity, mutuality
reciproki; reciprocate, return
recitalo; recital
reciti; recite
redakcia; editorial
redakciejo; newsroom
redakcio; editorial office, editorial staff, editor
redakta; edit
redaktado; composition
redakti; draft, edit
redaktilo; editor <g>pers</g>
redakto; editing, composition
redaktokampo; edit field
redaktora; editorial
redaktoro; editor <g>pers</g>
redifini; redefine
redingoto; frock-coat, frock coat
rediri; repeat
redistribui; redistribute
redoni; return, give back, restore
redono; restitution
redukti; reduce, whittle
reduktiĝi; fall <f>{past fell} {perf fallen}</f>, recede, be reduced
reduktiĝo; reduction
redukto; reduction, reductio ad absurdum
redunda; redundant
redundo; redundancy
redungi; reinstate
redungo; reinstatement
reduto; redoubt
ree; repeatedly, once more, again, time and time again
reedukado; re-education
reeduki; re-educate
reekzameni; review, reexamine
reela; real
reelaparto; real part
reeldoni; republish
reeldono; republising, new edition, reissue
reelekti; re-elect, return
reelo; float
reen; back, backwards
reenkarniĝo; reincarnation <g>pers</g>
reenklavo; carriage return
reenkonduki; reintroduce
refaldi; tuck
refali; lapse
refari; redo, repeat, remade, remake
referato; paper
referaĵo; paper, scholarly report
referenca; benchmark
referenci; reference, cite
referencilo; symbol
referenco; reference
referendario; referee
referendumo; referendum
referi; read a paper, make a scholarly report, lecture, give a report, scholarly report
refi; reef (sail)
reflamigi; reignite
refleksa; reflex
reflekse; reflexively
reflekso; reflex
reflekta; reflective
reflektaĵo; image
reflekti; reflect
reflektilo; reflector
reflekto; reflection
reflektoro; headlight, spotlight
reflori; bloom later
reflui; ebb
refluo; low tide, ebb
refo; reef
refoje; again
reformacio; Reformation
reformanto; reformer
reformemulo; reformer
reformi; reshape, reform
reformisto; reformist, reformer
reformo; reform
reformuli; reformulate, repackage
refortiĝi; convalesce, grow stronger, get stronger, recuperate
refortiĝo; recovery
refrakto; refraction
refreno; refrain, riff
refreŝige; refreshing
refreŝigi; refresh
refreŝigintervalo; refresh time
refreŝiĝi; recover
refuti; refute, disprove
refuto; refutation
rega; governing
regadi; control
regado; control, reign, rule
regajni; recover, recoup
regalado; entertainment
regali; treat, shout, regale, entertain
regalo; party, treat
reganta; governing, ruling
reganto; mandator, ruler
regato; subject
regebla; manageable
regeco; governorship
regenerado; regeneration
regeneri; regenerate
regento; regent
regi; reign, govern, rule, restrain, control
regilo; control, controller
regimentestro; colonel
regimento; regiment
regiona; regional, local
regionestro; governor
regiono; region
regiononomo; domain name
registara; governmental
registaro; government
registradi; record
registrado; registration, recording
registri; record, file, lodge, burn CD, register
registrigi; register
registristo; registrar <g>pers</g>
registriĝi; register
registriĝo; registration
registro; register, record
registrolibro; register, record, roll, list
reglamento; regulation, rules, regulations
regna; royal, state, national
regnano; subject
regnestro; head of state <g>pers</g>
regno; realm, state, kingdom
rego; controlling, control
regolo; goldcrest
regpotenco; rule
regpovo; state power, power
regpunkto; control point
regrandigi; resize
regresi; decline, regress
regreso; regression, setback, recession, going down, decline
regula; even, regular
regulado; operating
regularo; rules, regulations, regulation
regule; regularly
reguleco; regularity
regulesprimo; regular expression, regexp, regular expresssion
reguli; operate
reguliga; regulatory
reguligi; regulate
reguligo; regulation
regulilo; control
regulo; regulation, rule
rehavi; recover
rehavigi; return
reindeksi; recreate index
reinstalo; reinstatement
reinterpreto; reinterpretation
reinventi; reinvent
reiri; return, go back
reiro; return
rejno; Rhine <g>pers</g>
rejunigi; rejuvenate
rekandidati; reapply
rekantaĵo; chorus
rekapti; recapture
reklamacio; claim, complaint
reklamado; advertising
reklami; advertise
reklamo; ad, advert, advertisement
reklopodi; try again
reko; horizontal bar
rekomenci; restart, resume
rekomenciĝi; restart
rekomenco; retry, resumption
rekomenda; recommended
rekomendi; advocate, register, recommend
rekomendinda; recommendable
rekomendletero; testimonial
rekomendo; recommendation
rekompenci; compensate, reward
rekompenco; payoff, reward, compensation
rekompili; recompile
rekonebla; recognisable, recognizable
rekonfirmi; reaffirm
rekoni; recognise
rekonkeri; recapture, reconquer
rekono; recognition
rekonsciiĝi; regain consciousness, recover
rekonsideri; review, reconsider, rethink
rekonsidero; rethink, revision
rekonstruadi; rebuild
rekonstruado; reconstruction, rebuilding
rekonstrui; reconstruct
rekonstruo; reconstruction
rekorda; record
rekordlisto; highscores
rekordo; record
rekreado; recreation
rekrei; re-create
rekremento; residue, waste, dregs, dross, grounds, husks, lees, draff, refuse
rekruti; draft, recruit
rekrutigi; recruit, draft
rekrutigo; draft
rekrutiĝi; enlist
rekruto; recruit <g>pers</g>
rekta; direct, straight
rektaintesto; rectum
rektakurento; direct current
rektangula; rectangular
rektangulo; right angle, rectangle
rektara; ruled
rekte; direct, directly, straight ahead, straight
rektigi; straighten
rektigilo; rectifier
rektilo; ruler
rektiĝi; straighten, stand upright
rekto; straight line
rektoro; rector <g>pers</g>
rektumo; rectum
rekunigi; put back together
rekuniĝi; get back together
rekunmeti; reconstruct, reassemble
rekuperi; recover
rekviemo; requiem
rekvizicii; seize, exact, requisition
rekvizicio; requisition
relanĉi; relaunch, restart
relanĉo; restart, relaunching
relativa; comparative, relative
relative; comparatively, rather, fairly, relatively
relativeco; relativity
relativismo; relativism
relegacii; exile
relegacio; exile
relegi; review
releviĝi; recover, get back up, rise again
releviĝo; resurgence
reliefa; graphic
reliefigi; highlight
reliefiĝi; highlight, bevel
reliefo; relief, outstanding representation
reliefstrio; molding, moulding
religi; reconnect
religia; religious
religie; religiously
religieco; religiousness, religiosity
religiema; religious
religiemo; religiousness
religio; religion
religiulino; nun
religiulo; cleric, religious person <g>pers</g>
relikvo; relic
relikvujo; shrine, casket, reliquary
relkomutilo; switch
relo; rail
reloki; reposition
reludi; replay
remado; rowing
remalfermi; reopen
remaĉi; rehash, chew the cud
remburado; stuffing, padding
remburaĵo; stuffing, padding, cushioning, upholstery
remburi; cushion, stuff, pad, upholster
rememorado; reminiscence
rememori; remember, recollect, recall
rememoriga; reminiscent
rememorigi; recall, remind
rememorigo; recollection
rememoro; recollection, reminiscence
remeti; replace, put back
remi; row
remilo; oar
remisto; rower
remizo; shed, coach-house, garage
remparo; bulwark, battlement, rampart
rena; renal
renaskiĝi; be born again, revive
renaskiĝo; rebirth, revival
renasko; regeneration
rendevuejo; meeting-place, rendezvous
rendevui; meet <f>{past met} {perf met}</f>, make an appointment, set a date
rendevuo; rendezvous, appointment, date, meeting
rendimenta; efficient
rendimento; output, yields, return, efficiency, performance
renegato; renegade <g>pers</g>, deserter <g>pers</g>, turncoat
renesanco; renaissance
renio; rhenium
renkonti; see <f>{past saw} {perf seen}</f>, come across, meet, encounter
renkontigi; bring
renkontiĝi; meet, gather
renkontiĝo; encounter, meeting, gathering
renkonto; encounter
reno; kidney
renoma; famous
renomi; rename
renomo; renown, fame
renovigado; renovation
renovigebla; renewable
renovigi; redevelop, retrofit, redo, refurbish, renovate, renew
renovigo; renewal, refurbishment, redevelopment
renoviĝo; renewal
rento; return, earnings, private means, (unearned) income, annuity, income
rentumo; interest
renversi; overthrow <f>{past overthrew} {perf overthrown}</f>, turn, turn over, overturn, upset <f>{past upset} {perf upset}</f>, subvert
renversiĝi; capsize, turn over
renversiĝo; upheaval
renverso; upsetting, destruction
reordigi; put back into order, fix
reorganizado; reorganisation
reorganizi; reorganise
repacigi; reconcile
repacigo; reconciliation
repaciĝi; reconcile, make up
repaciĝo; reconciliation, rapprochement
repagi; refund, reimburse, repay
repago; return, refund, repayment, reimbursement
repertuaro; repertoire
replenigi; replenish
replenigo; refill
repliki; reply, answer back, retort
repliko; rejoinder, riposte, retort, reply
reportero; reporter
reporti; recover, return, take back, bring back
reporto; return
repostuli; demand back, demand
repreni; abjure, retrieve, take back, retake
repreno; resumption
reprepari; reset
represi; reprint
represio; political repression
represo; reprint
reprezalio; reprisal
reprezenta; representative, representational
reprezentado; representation
reprezentanto; representative
reprezenti; represent, embody, resubmit
repripensi; rethink
reproduktado; replication, reproduction
reproduktaĵo; likeness
reprodukti; replicate, reproduce, render
reproduktiĝi; breed, be reproduced
reproduktiĝo; breeding
reprodukto; replication, reproduction
reprovi; try again
reptilio; reptile
republikigi; republish
reputacio; reputation
repuŝi; repulse, counter, rebuff
repuŝo; rollback, repression
resalti; bounce, rebound, ricochet
resalto; bounce, rebound, recovery
resanigi; remedy, cure, heal, make well
resanigilo; medicine, remedy, cure
resanigo; curing, healing
resaniĝi; heal, get better, recover, recuperate
resaniĝo; recovery, recuperation
resendi; refer, send back, return
resendo; reflection
reskribi; rewrite
reskribo; rewrite
resonadi; reverberate
resonado; reverberation
resonanco; resonance
resoni; echo, resound
resonigi; echo
resonilo; resonator
resono; echo, resonance
respegulaĵo; reflection
respeguli; reflect, mirror
respeguliĝo; reflection
respektata; respected
respektega; deferential
respektego; reverence, deference
respektema; respectful
respekteme; respectfully
respekti; respect
respektinda; respectable, venerable
respektindeco; respectability
respektiva; respective
respektive; as the case may be, respectively
respekto; respect
responda; responsible, corresponding
respondado; answering, replying
responde; back, corresponding
respondeca; responsible
respondece; responsibly
respondeci; bear responsibility, report
respondecigi; blame, hold responsible
respondeco; responsibility, onus
respondeculo; authority
respondema; sensitive, responsive
respondi; answer, reply, respond, correspond
respondkupono; reply coupon
respondo; reply, response, answer
respublika; republican
respublikana; republican
respublikano; republican <g>pers</g>
respubliko; republic
respurado; trackback
resta; residual
restadejo; abode
restadi; stay, linger
restado; stay
restarigi; restore, reestablish
restarigo; restoration
restariĝi; restore
restariĝo; recovery
restartigi; reset
restaŭrado; restoration
restaŭri; restore
restaŭro; renovation
restaĵo; remains, residue, remainder, rest, remnant, relic
resti; lie, remain, stay over, stay
restigi; leave <f>{past left} {perf left}</f>, keep <f>{past kept} {perf kept}</f>, park
resto; remainder, rest
restoklaso; residue class
restoracio; restaurant
restrikta; limited, restrictive
restrikti; restrict, confine, limit
restrikto; restriction
restrukturado; restructuring
resuma; summary
resume; basically
resumi; outline, summarise, abstract, summarize
resumo; resume, abridgement, summery, rsum, abstract, summary
retablo; altarpiece
retadreso; e-mail address
retanalizilo; network tool
retaĵo; net
retejo; website, web site
retenado; control, retention, containment
reteni; restrain, detain, hold back, retain, reserve
reteno; control
retikulo; purse
retino; retina
retinterfaco; network
retiri; draw back, withdraw, retract, yank
retiriĝi; recede, recoil, backpedal, disengage, withdraw, retreat
retiriĝo; retreat, retirement, retrenchment, pullout
retiro; withdrawal, removal
retkarto; network card
retkomerco; e-commerce
retkonektado; networking
retkonekto; connection
retlegilo; browser
retletero; e-mail
retludo; network game
retmesaĝo; e-mail
reto; network, net
retorika; rhetorical
retorikaĵo; piece of rhetoric
retoriko; oratory, rhetoric
retoro; rhetorician
retorto; retort
retotaglibro; blog
retpaĝaro; website
retpaĝo; web page
retpoŝtilo; mail client
retpoŝto; email, e-mail
retregiono; domain
retroaktiva; retroactive
retroiri; recede
retrokuplo; feedback
retropaŝi; walk backwards, walk back
retroprojekciilo; overhead projector
retrospegulo; driving mirror
retrospektiva; retrospective
retrospektive; back
retrospurado; backtrace
retrospuraĵo; backtrace
retrospuro; backtrace
retrovi; find <f>{past found} {perf found}</f>, find again, recover, rediscover
retrovo; recovery
retservilo; webserver, web server
retumanto; surfer
retumi; surf
retumilo; browser
returne; back
returnen; back
returni; turn
returnite; backwards, backward
returniĝi; reverse, turn back
retuŝi; retouch, touch up
reunuigi; reunite
reunuiĝi; reunite
reunuiĝo; reunion
reuzado; recycling
reuzi; recycle, reuse
reva; romantic, dreamy, in a reverie, lost in thought
revado; reverie
reveki; reawaken
revekiĝi; reawaken
revelacii; reveal
revelacio; revelation, disclosure
revema; romantic
revena; return
revendi; resell
reveni; come back, return, go <g> back</g>, come <g> back</g>
revenigi; return
revenigo; recovery, recall
reveno; return
reverki; rewrite, rework
reverko; rewrite, revision
reverso; inside
reveturi; go back, travel back
revi; dream <f>{past dreamed} {perf dreamed}</f>, daydream, muse, be in a reverie, fancy
revidi; see again
revidigi; replay
revigligi; rejuvenate, revitalize
revigligo; revitalisation
revigliĝi; resurge, reinvigourate, revive, come to life again
revigliĝo; resurgence
revivi; revive
revivigi; resuscitate, revive
revivigo; revitalisation, revival
reviviĝi; revive, return to life
reviviĝo; revival
revizi; visit
reviziado; review, servicing
revizii; overhaul, audit, review, revise
reviziisma; revisionist
reviziismo; revisionism
reviziisto; inspector
revizio; audit, overhaul, revision, review
reviziti; return, revisit
revizoro; government inspector, auditor <g>pers</g>
revo; dream, daydream, reverie
revoki; rescind, revoke, end, call back
revoko; recall
revolucia; revolutionary
revolucii; revolutionise
revolucio; revolution
revoluciulo; revolutionary <g>pers</g>
revolvero; revolver, gun
revui; review
revulo; day-dreamer <g>pers</g>, muser <g>pers</g>, dreamer <g>pers</g>
revuo; revue, magazine, periodical, organ, journal, review
rezedo; reseda, mignonette
rezerva; reserve, backup, fallback
rezervaĵo; spare, reservation
rezerve; aside
rezervejo; reserve, preserve, reservation
rezervi; book, reserve
rezervo; backup, booking, reserve
rezervujo; tank, reservoir
rezidejo; residence
rezidento; minister
rezidi; reside
rezignacii; resign oneself, acquiesce, resign
rezignacio; resignation
rezignemo; acquiescence, resignation, submission, defeatism
rezigni; surrender, waive, forfeit, relinquish, forgo, resign, abandon, renounce, give up, concede
rezigno; departure, cession, renunciation, surrender, relinquishment, resignation
rezino; resin
rezista; resistant, resistive
rezistado; resistance
rezistanco; resistance
rezisti; withstand <f>{past withstood} {perf withstood}</f>, resist, buck
rezisto; resistance
rezolucio; motion, resolution
rezoluta; determined, resolute
rezolute; resolutely
rezonadi; reason
rezonado; reasoning
rezoni; argue, discuss, reason
rezulta; eventual, resultant
rezultanta; eventual
rezultati; result
rezultato; conclusion, effect, result
rezulte; consequently, as a result, as a consequence
rezulti; ensue, result, turn <g> out</g>
rezultigi; cause, bring about
rezulto; result, outcome, show
reŝargi; reset, reboot, reload, recharge
reŝargo; reboot
reŝarĝi; reload
reŝarĝo; reloading
reŭmatismo; rheumatism
reĝa; regal, royal
reĝado; reign
reĝe; royally
reĝeco; royalty
reĝfamiliano; royalty, royal
reĝi; reign, rule
reĝidino; princess
reĝido; prince
reĝimo; regimen, rule, mode of operation, mode, regime
reĝino; queen
reĝisorado; choreography
reĝisori; direct, orchestrate
reĝisoro; stage manager, director <g>pers</g>, stage-manager <g>pers</g>
reĝistro; register
reĝlando; kingdom
reĝo; queen, king <g>pers</g>, king of kings
reĝujo; kingdom
reĝustigi; readjust, redress, adjust
reĵeti; reject, throw back
ribeko; rebec
ribelado; mutiny
ribelanto; rebel
ribelema; mutinous, rebellious, insubordinate
ribeli; revolt, rebel
ribelo; rebellion, revolt, mutiny, insurrection
ribelulo; rebel <g>pers</g>
ribo; currant
ribsuko; currant juice
ribujo; currant bush, currant
ricevanto; quarterback
ricevebla; available
ricevi; get, receive
ricevigi; impart
ricevilo; receptor, receiver
ricevo; reception
ricino; castor-oil plant
ridado; laughter
ridante; laughing
ridaĉi; smirk
ridegi; guffaw
rideti; smile
rideto; smile
ridi; laugh
ridiga; ludicrous, hilarious, droll
ridige; droll
ridinda; risible, laughable, ridiculous, silly
ridindaĵo; ridiculous thing, farce
ridinde; laughable
ridindigi; ridicule
rido; laughter, laugh
rifo; reef
rifuzi; reject, balk, refuse
rifuzo; refusal
rifuĝejo; shelter, place of refuge, sanctuary, hideaway, haven
rifuĝi; shelter, refuge, take refuge
rifuĝinto; refugee <g>pers</g>
rifuĝo; refuge, sanctuary
rigardadi; observe
rigardado; examination, contemplation
rigardanto; witness, watcher, onlooker
rigardaĉi; gape, gape at
rigardi; regard, watch, consider, look at, view, gaze, look <g>sens</g>
rigardo; look, gaze
rigida; stiff, rigid
rigideco; rigidity
rigidigi; stiffen
rigidiĝi; stiffen, paralyse
rigidmiena; stiff
rigidnuka; obstinate, intransigent, mulish, stiff-necked, stubborn
rigli; fasten, secure, bolt
riglilo; bolt
rigora; stringent, rigourous, rigorous
rigore; strictly
rigoreco; rigour
rigoro; rigour
rikani; sneer, laugh derisively
rikardo; Richard
rikiŝo; ricksha, jinricksha, jinrikisha, rickshaw
rikoltaĵo; harvest, crop
rikolti; harvest, gather, reap, garner
rikolto; harvest
rikordo; record
rilata; relevant, related, associated
rilate; concerning, as to, as regards
rilati; concern, relate
rilatigi; relate
rilato; relevance, relation
rilatumo; ratio
rimana; Riemann[s], Riemann['s], Riemannian, Riemann['s]
rimanaintegralo; Riemann['s] integral, Riemann[s] integral
rimano; Riemann <g>pers</g>
rimaranĝo; rhyme arrangement
rimarkebla; marked
rimarkeble; noticeably, markedly
rimarki; notice, comment, remark
rimarkigi; remark
rimarkigo; remark
rimarkinda; remarkable, noteworthy, notable
rimarkindaĵo; feature
rimarkinde; noticeably, remarkably
rimarko; notice, observation, remark, comment
rimaro; rhyming dictionary
rimedaro; package
rimedo; resource, remedy, means <f>{pl means}</f>, medium, expedient, recourse, resources
rimeno; strap, belt, band
rimeso; remittance
rimi; rhyme
rimiĝi; rhyme
rimo; rhyme
rimoido; off rhyme, assonant rhyme, approximate rhyme, imperfect rhyme, near rhyme, oblique rhyme, slant rhyme
rimvortaro; rhyming dictionary
ringego; hoop
ringo; hoop, ring, residue class ring
ringokolombo; wood-pigeon
rinocero; rhinoceros, rhino
riparadi; maintain
riparado; repair
ripari; fix, mend, repair
riparisto; repairman <g>pers</g>
riparo; repair
ripeta; repeated
ripetado; replication, repetition
ripeti; reiterate, repeat
ripetilo; repeater
ripetiĝi; recur, repeat, be repeated, repeat oneself
ripetiĝo; recurrence
ripeto; repeat, repetition
ripo; rib
ripozejo; retreat, resting-place, resting place
ripozeto; respite
ripozi; rest, repose
ripozigi; rest
ripozo; repose, rest
ripozopulso; restingpulse
ripozpurigi; decant
riproĉi; upbraid, reprimand, criticise, rebuke, blame, reprove, scold, reproach
riproĉinda; reprehensible
riproĉo; reproach, reprimand, rebuke
riska; hazardous, risky
riske; daring
riskema; audacious
riski; venture, hazard, court, risk
risko; risk, hazard
riskogrupo; risk group
rismo; ream
risortiĝi; rebound
risorto; spring
rita; ritual
ritaro; ritual
ritlibro; book of devotions, formulary, ritual
ritma; rhythmic
ritmo; rhythm
rito; rite, ritual
rivala; rival
rivaleco; rivalry
rivali; vie, rival
rivalo; rival <g>pers</g>
rivela; telltale
riveli; unveil, develop, reveal
riveliĝi; discover
rivelo; revelation, disclosure
rivera; fluvial
riverbordo; riverbank
riverdelfeno; manatee
riverenci; curtsy, bow, curtsey, salaam, make obeisance
riverenco; salaam, curtsey, obeisance, curtsy, bow
rivereto; stream, brook, creek
rivero; river
rivolui; revolve
rivoluo; revolution
rizkampo; paddy field, rice-field
rizo; rice
rizomo; rhizome
riĉa; rich, wealthy, well-off
riĉaĵo; wealth, fortune
riĉeco; abundance, wealth, richness
riĉigi; enrich <g>{N A}</g>, make rich
riĉigo; enrichment
riĉiĝi; become rich
riĉula; affluent
riĉulo; rich man <g>pers</g>
roberto; Robert
robo; gown, dress, frock, robe
robota; robotic
roboto; robot
rodi; gnaw, nibble
rodio; rhodium
rodo; mooring, moorage, anchorage, road, roadstead, roads (nautical)
rododendro; rhododendron
roduloj; rodents
rojalismo; royalism
rojalisto; royalist <g>pers</g>
rojeto; rill, rivulet, brooklet
rojo; brook, stream
roka; rocky
rokeca; rugged
rokenrolo; rock
rokkolombo; rock-dove
rokmuziko; rock
roko; crag, rock
rokoko; rococo
rolado; characterisation
rolanto; actor
rolo; rle, part, role
rolulo; character, player
roma; Roman
romanco; romantic song, romance
romaneca; romantic
romaneco; romanticism
romania; roman
romanika; Romance, Romanesque
romaniko; Romanesque
romanisto; novelist <g>pers</g>, fiction writer, author
romano; Roman <g>pers</g>, novel
romantika; romantic
romantikisma; romantic
romantikismo; romanticism
romantikisto; romantic
romantiko; romanticism
romantikulo; romantic
romanverkisto; author
rombo; rhombus
romboedro; rhombohedron
romboido; rhomboid
romia; Roman
romiano; Roman <g>pers</g>
romio; Roman Empire, Ancient Rome
romkatolika; Roman Catholic
romo; Rome
rompado; breakage
rompaĵo; bit
rompebla; fragile
rompi; bust, break <f>{past broke} {perf broken}</f>
rompita; broken
rompitalinio; broken line
rompiĝema; fragile, brittle, breakable
rompiĝi; break
rompiĝo; break
rompo; breach, break, breakage
rompŝtelisto; burglar <g>pers</g>
rompŝtelo; burglary
ronda; round, circular
rondaĵo; fillet, round
rondbuŝuloj; cyclostomes
rondelo; round
rondeto; circle, small group
rondigi; round off, round
rondiri; circulate, revolve, circle
rondiro; lap, circuit
rondo; round, circle
rondveturo; tour
rondvojaĝi; tour
rondvojaĝo; tour
ronki; snore
ronroni; purr
ronrono; purr
ronĝi; gnaw, nibble, chew
ronĝulo; rodent
ronĝuloj; rodents
rosmareno; rosemary
rosmaro; walrus
roso; dew
rostaĵo; roast
rostbefo; roast beef
rostbifo; roastbeef
rosti; toast, roast
rostiĝi; roast
rostostango; spit, turnspit
rostpano; toasted bread, toast
rostro; trunk, proboscis
rotacia; rotary
rotaciaakso; axis of rotation
rotaciacentro; center of rotation
rotacii; rotate
rotacio; rotation
rotario; Rotary, Rotary clubs
roterdamo; Rotterdam
rotestro; captain
roto; troop, squad, gang
rotondo; rotunda
rotoro; rotor
roza; pink
rozarbusto; rose-bush
rozario; rosary
rozkolora; pink, rosy
rozo; pink, rose
ruando; Rwanda
rubando; banner, ribbon
rubaĵo; garbage
rubejo; garbage dump, trash dump, dump
rubekolo; robin
rubeno; ruby
rubidio; rubidium
rublo; ruble, rouble
rubo; rubble, debris, rubbish, mess
rubriko; header, column, category, rubric, heading
rubujo; trash container, garbage can, paper bin, trash bin, trash can, dustbin, bucket
rubuso; blackberry, bramble
rudimenta; undeveloped, rudimentary
rudro; rudder
rufa; russet, rust-coloured, roan, sandy
rugbeo; rugby
rui; steep
ruiniga; ruinous, destructive
ruinigado; ravages
ruinigi; trash, wreck, devastate, ruin, destroy
ruiniĝi; wreck
ruiniĝo; devastation
ruino; ruin
rukti; belch, burp
rukto; belch
rulado; rolling
ruldomo; mobile home, trailer <g>pers</g>, caravan
ruleto; roulette
rulfali; tumble
ruli; wheel, bowl, roll, run
ruliĝado; rolling
ruliĝi; roll
rulkomando; run command
rulkurteno; roller-blind
rulo; roll
rulpremi; roll
rulpremilo; steamroller
rulseĝo; wheelchair
rultempa; run-time
rulumi; scroll, roll <g>{N A}</g>
rulumskalo; scroll bar
rulŝtuparo; escalator
rulŝuo; roller skate
rumana; Rumanian, Romanian
rumanio; Romania, Rumania
rumano; Rumanian, Romanian <g>pers</g>
rumo; rum
runa; runic
rundo; round
runo; rune
rusa; Russian
ruse; in Russian
rusino; Russian woman
rusio; Russia
ruslanda; Russian Empire, Russian Federation, Russian
ruslandano; Russian <g>pers</g>
ruslando; Russia
ruso; Russian <g>pers</g>
rusta; blighted, rusty
rusti; rust
rustiĝi; rust
rusto; rust, oxide
rusuja; Russian
rusujano; Russian <g>pers</g>
rusujo; Russia
rutenio; ruthenium
ruterfordio; rutherfordium
rutina; routine
rutine; routinely
rutino; routine, habit
ruto; rue
ruza; cunning, wily, sneaky, devious, crafty, sly, smart, clever
ruzaĵo; ruse, trick
ruze; slyly
ruzeco; slyness
ruzema; tricky
ruzo; trick, ruse, stratagem
ruzulo; cunning person, sly person
ruĝa; Red Sea, red, sanguine
ruĝeco; red
ruĝeta; reddish
ruĝiĝi; blush
ruĝo; red
ruĝulo; red
sabato; Sabbath, Saturday
sablero; grain of sand
sablo; sand
sablokolora; sandy
sabloplena; sandy
sabotado; sabotage
saboti; sabotage
sabro; sword, sabre, saber
sacerdoto; priest <g>pers</g>
sadista; sadistic
sadisto; sadist <g>pers</g>
sadukeo; Sadducee <g>pers</g>
safiro; sapphire
sagaca; ingenious, sagacious, sharp, savvy, canny, shrewd, astute, smart
sagace; smart
sagaco; savvy, shrewdness, ingenuity
sageto; dart
sagi; dart
sago; arrow
sagujo; quiver
saguo; sago
sakeo; sake  (Japanese drink)
saketo; pouch, packet
sakfajfilo; bagpipes
sakfungoj; sac fungi
sako; sack, bag
sakramenta; sacramental
sakramento; sacrament
sakraĵo; expletive
sakri; swear <f>{past swore} {perf sworn}</f>, cuss, curse
sakrilegia; sacrilegious
sakrilegii; commit sacrilege
sakrilegio; sacrilege
sakrilegiulo; sacrilegist
